TRAIN_CODE,STATION_CODE,SCHEDULE_ARRIVAL_TIME,SCHEDULE_DEPARTURE_TIME,API_ARRIVAL_TIME,API_DEPARTURE_TIME,TIME_MATCH
12DN,GLW,07:21:00,07:23:00,07:21:00,07:23:00,YES
12DN,LON,07:45:00,07:47:00,07:45:00,07:47:00,YES
12DN,BWPR,08:05:00,08:10:00,08:05:00,08:10:00,YES
12DN,SMA,08:25:00,08:27:00,08:25:00,08:27:00,YES
12DN,MBK,08:47:00,08:49:00,08:47:00,08:49:00,YES
12DN,DWBS,09:04:00,09:06:00,09:04:00,09:06:00,YES
12DN,LQP,09:36:00,09:38:00,09:36:00,09:38:00,YES
12DN,KPR,10:25:00,10:30:00,10:25:00,10:30:00,YES
12DN,RYK,11:05:00,11:10:00,11:05:00,11:10:00,YES
12DN,SDK,11:30:00,11:32:00,11:30:00,11:32:00,YES
12DN,DRK,12:09:00,12:11:00,12:09:00,12:11:00,YES
12DN,MRP,12:27:00,12:29:00,12:27:00,12:29:00,YES
12DN,GHK,12:51:00,12:53:00,12:51:00,12:53:00,YES
12DN,PNL,13:21:00,13:23:00,13:21:00,13:23:00,YES
12DN,ROH,14:10:00,14:35:00,14:10:00,14:35:00,YES
12DN,KHP,15:02:00,15:04:00,15:02:00,15:04:00,YES
12DN,GBT,15:26:00,15:28:00,15:26:00,15:28:00,YES
12DN,MHR,15:50:00,15:52:00,15:50:00,15:52:00,YES
12DN,BRO,16:13:00,16:15:00,16:13:00,16:15:00,YES
12DN,PDN,16:33:00,16:35:00,16:33:00,16:35:00,YES
12DN,NWS,17:48:00,17:50:00,17:48:00,17:50:00,YES
12DN,SDU,18:42:00,18:44:00,18:42:00,18:44:00,YES
12DN,TDM,19:11:00,19:13:00,19:11:00,19:13:00,YES
12DN,HDR,20:00:00,20:10:00,20:00:00,20:10:00,YES
12DN,KOT,20:28:00,20:30:00,20:28:00,20:30:00,YES
12DN,LND,22:08:00,22:10:00,22:08:00,22:10:00,YES
12DN,DID,22:40:00,22:42:00,22:40:00,22:42:00,YES
12DN,KCT,23:10:00,23:15:00,23:10:00,23:15:00,YES
12DN,KYC,23:25:00,23:25:00,23:25:00,,YES
13UP,KCT,,08:00:00,,08:00:00,YES
13UP,DID,08:20:00,08:22:00,08:20:00,08:22:00,YES
13UP,LND,08:42:00,08:44:00,08:42:00,08:44:00,YES
13UP,BQM,08:58:00,09:00:00,08:58:00,09:00:00,YES
13UP,KOT,10:39:00,10:41:00,10:39:00,10:41:00,YES
13UP,HDR,11:00:00,11:05:00,11:00:00,11:05:00,YES
13UP,TDM,12:00:00,12:05:00,12:00:00,12:05:00,YES
13UP,SDU,12:25:00,12:30:00,12:25:00,12:30:00,YES
13UP,SRH,12:50:00,12:52:00,12:50:00,12:52:00,YES
13UP,NWS,13:08:00,13:10:00,13:08:00,13:10:00,YES
13UP,DOU,13:32:00,13:34:00,13:32:00,13:34:00,YES
13UP,BHE,13:48:00,13:50:00,13:48:00,13:50:00,YES
13UP,KQO,14:02:00,14:04:00,14:02:00,14:04:00,YES
13UP,PDN,14:16:00,14:18:00,14:16:00,14:18:00,YES
13UP,BRO,14:32:00,14:34:00,14:32:00,14:34:00,YES
13UP,MHR,14:55:00,14:57:00,14:55:00,14:57:00,YES
13UP,STJ,15:11:00,15:13:00,15:11:00,15:13:00,YES
13UP,RAN,15:30:00,15:32:00,15:30:00,15:32:00,YES
13UP,GBT,15:48:00,15:50:00,15:48:00,15:50:00,YES
13UP,KHP,16:23:00,16:25:00,16:23:00,16:25:00,YES
13UP,ROH,17:05:00,17:30:00,17:05:00,17:30:00,YES
13UP,PNL,17:56:00,17:58:00,17:56:00,17:58:00,YES
13UP,GHK,18:20:00,18:22:00,18:20:00,18:22:00,YES
13UP,MRP,18:44:00,18:46:00,18:44:00,18:46:00,YES
13UP,DRK,19:02:00,19:04:00,19:02:00,19:04:00,YES
13UP,SDK,19:42:00,19:44:00,19:42:00,19:44:00,YES
13UP,RYK,20:14:00,20:16:00,20:14:00,20:16:00,YES
13UP,KPR,21:13:00,21:15:00,21:10:00,21:15:00,YES
13UP,LQP,21:48:00,21:50:00,21:48:00,21:50:00,YES
13UP,DWBS,22:20:00,22:22:00,22:20:00,22:22:00,YES
13UP,SMA,23:00:00,23:20:00,23:00:00,23:20:00,YES
13UP,BWPR,23:36:00,23:38:00,23:34:00,23:38:00,YES
13UP,LON,00:01:00,00:03:00,00:01:00,00:03:00,YES
13UP,SJB,00:37:00,00:39:00,00:37:00,00:39:00,YES
13UP,MUL,01:10:00,01:18:00,01:10:00,01:18:00,YES
13UP,KWL,02:00:00,02:05:00,02:00:00,02:05:00,YES
13UP,MYH,02:38:00,02:40:00,02:38:00,02:40:00,YES
13UP,CCE,03:06:00,03:08:00,03:06:00,03:08:00,YES
13UP,SWAL,03:50:00,03:55:00,03:50:00,03:55:00,YES
13UP,OKR,04:25:00,04:27:00,04:25:00,04:27:00,YES
13UP,PTO,05:00:00,05:02:00,05:00:00,05:02:00,YES
13UP,KRK,05:24:00,05:26:00,05:24:00,05:26:00,YES
13UP,RND,05:45:00,05:50:00,05:45:00,05:50:00,YES
13UP,LKP,06:16:00,06:18:00,06:16:00,06:18:00,YES
